name,type,city,district,description,tags0,tags1,tags2,tags3,hours,cost,lat,lng,gmaps,image_url
台北101觀景台,spot,台北,信義區,台北地標與高空景觀平台,地標,觀景,購物,拍照,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%8F%B0%E5%8C%97101%E8%A7%80%E6%99%AF%E5%8F%B0,https://www.taiwan.net.tw/att/1/big_scenic_spots/pic_7927_32.jpg
國父紀念館,spot,台北,信義區,大型展演與展覽場館，周邊綠地適合散步,文化,展覽,散步,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%9C%8B%E7%88%B6%E7%B4%80%E5%BF%B5%E9%A4%A8,https://senior.104.com.tw/img/zip/3ba4d0c15ca444d0bdf122c7396a86ae11.jpeg
象山步道,walk,台北,信義區,熱門親山步道，夜景觀賞點,登山,夜景,戶外,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E8%B1%A1%E5%B1%B1%E6%AD%A5%E9%81%93,https://www.travel.taipei/image/222132/?r=1637654386987
四四南村,cafe,台北,信義區,眷村改建文創聚落，好丘與市集,文創,咖啡,拍照,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%9B%9B%E5%9B%9B%E5%8D%97%E6%9D%91,https://www.fun-taiwan.com/Images/PlayNotes/121153-S20120829032355.jpg
松山文創園區,spot,台北,信義區,老菸廠轉型文創基地，展覽與市集,文創,展覽,市集,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E6%9D%BE%E5%B1%B1%E6%96%87%E5%89%B5%E5%9C%92%E5%8D%80,https://www.taiwanviptravel.com/articles/images/songshan-cultural-park-img3.jpg
台北世貿中心,spot,台北,信義區,國際展覽與會展場域,展覽,商務,,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%8F%B0%E5%8C%97%E4%B8%96%E8%B2%BF%E4%B8%AD%E5%BF%83,https://s3cdn.yourator.co/banners/banners/000/002/105/home/a46a299319b407569091a23b72ab0e2c6ab38824.png
台北市政府,spot,台北,信義區,城市地標與周邊市民廣場,地標,公共空間,,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E6%94%BF%E5%BA%9C,https://www.travel.taipei/content/images/attractions/191906/480x360_attractions-image-y-1yhe8xz0e52lrkjvjqkw.jpg
信義香堤大道廣場,walk,台北,信義區,百貨間中庭步道裝置藝術,散步,拍照,購物,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E4%BF%A1%E7%BE%A9%E9%A6%99%E5%A0%A4%E5%A4%A7%E9%81%93%E5%BB%A3%E5%A0%B4,https://cdn.walkerland.com.tw/images/upload/poi/p95582/m70171/0585517dd7ffc576a9bb869333fb822752424241.jpg
ATT 4 FUN,spot,台北,信義區,複合娛樂與餐飲購物商場,購物,美食,娛樂,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=ATT%204%20FUN,https://ciaotw-com.sfo3.digitaloceanspaces.com/wp-content/uploads/2023/08/cover-att4fun.jpg
台北國際會議中心,spot,台北,信義區,大型會議與活動場地,會展,商務,,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%8F%B0%E5%8C%97%E5%9C%8B%E9%9A%9B%E6%9C%83%E8%AD%B0%E4%B8%AD%E5%BF%83,https://i.epochtimes.com/assets/uploads/2009/07/907050303021758-600x400.jpg
大安森林公園,walk,台北,大安區,市區最大公園，生態池與環狀步道,公園,運動,野餐,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%A4%A7%E5%AE%89%E6%A3%AE%E6%9E%97%E5%85%AC%E5%9C%92,https://nienie.tw/wp-content/uploads/2023/05/%E5%8F%B0%E5%8C%97%E5%B8%82%E7%89%B9%E8%89%B2%E5%85%AC%E5%9C%92%EF%BD%9C%E5%A4%A7%E5%AE%89%E6%A3%AE%E6%9E%97%E5%85%AC%E5%9C%92%E8%A6%AA%E5%AD%90%E6%99%AF%E9%BB%9E%E9%A6%96%E9%81%B8%E8%B6%85%E5%A5%BD%E7%8E%A9%E6%94%80%E7%88%AC%E9%81%8A%E6%A8%82%E8%A8%AD%E6%96%BD-5416.jpg
師大夜市,cafe,台北,大安區,學生族最愛平價美食商圈,夜市,小吃,美食,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%B8%AB%E5%A4%A7%E5%A4%9C%E5%B8%82,https://www.welcometw.com/wp-content/uploads/2022/03/%E5%B8%AB%E5%A4%A7%E5%A4%9C%E5%B8%82-850x611.jpg
臨江街夜市（通化夜市）,cafe,台北,大安區,在地人氣夜市，宵夜好去處,夜市,小吃,在地,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E8%87%A8%E6%B1%9F%E8%A1%97%E5%A4%9C%E5%B8%82%EF%BC%88%E9%80%9A%E5%8C%96%E5%A4%9C%E5%B8%82%EF%BC%89,https://woment.com.tw/wp-content/uploads/2024/02/linjiang-street-night-market-in-taipei-1.jpg
國立臺灣大學校園,walk,台北,大安區,老榕大道與校園人文風景,校園,散步,拍照,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E6%A0%A1%E5%9C%92,https://storage.googleapis.com/opinion-cms-cwg-tw/article/201804/article-5ae6c4e816920.jpg
公館商圈,cafe,台北,大安區,學生美食、服飾與小店聚集,美食,逛街,平價,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%85%AC%E9%A4%A8%E5%95%86%E5%9C%88,https://s.yimg.com/ny/api/res/1.2/Sr.gg0dYHaXWvkQ9QsNb1w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTY0MDtoPTQyNw--/https://media.zenfs.com/zh-tw/chinatimes.com.tw/81461922cbd8dd945661d943a69a0087
建國假日花市,spot,台北,大安區,週末限定大型花市與玉市,市集,花卉,逛街,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%BB%BA%E5%9C%8B%E5%81%87%E6%97%A5%E8%8A%B1%E5%B8%82,https://attach.setn.com/newsimages/2018/11/07/1629024-XXL.jpg
